ID,名人姓名,名人国籍,性别,发表地区,发表形式,事发日期,道歉时间,道歉原因,道歉原因归类,主要道歉对象,道歉对象所在地区,道歉人职业领域,发布平台,全文 简体,,,,,,,,,,,,,
120,王源（TF boys,中国大陆,男,中國大陸,文字,5/20/2019,5/21/2019,違法抽菸,,,,歌手,微博,对不起！这件事让我深刻反思了自己的行为，对自己造成的不良社会影响，我感到十分抱歉和愧疚，很抱歉我做了一个错误的示范，我会承担相应的社会责任并接受处罚。作为一名公众人物，我今后一定会更加注重自身的言行，希望大家不要效仿我的错误行为。再次向大家道歉，我一定会以此为鉴，成为更好的大人。,,,,,,,,,,,,,
121,刘阳,中国大陆,男,中国大陆,文字,11/19/2019,11/19/2019,出轨分手,,,,网红,微博,"对不起，我在感情里做了无可原谅的事情，我还可笑的试图隐瞒所有人。
我也不相信自己会这样把对她4年多的感情抛之脑后，可事实就是我做了，并且是对这段感情伤害最深的事。
发这条微博不希望解释任何，错了就是错了，我不配获得大家的理解。
但是想说几件事：
1 事情发生到现在我一条朋友圈都没发，也不会发，那些我的朋友圈回复全是假的。一些其他图片的伪造和p图也希望停止下来，不希望其他任何人卷进来，被伤害。
2 阿沁她一直以来都非常非常善良，希望以后大家能善待她，也拜托尽量在她面前别提起我了。
前段时间我和她提分手找了特别多荒谬的理由，她一直告诉我这些都可以克服。可我却一直在逃避和隐瞒，我知道我不该变心，我知道我在做一件错事，所以怕造成类似现在的影响而不敢说出真话。可现在这样让她伤得更深，用这种方式被发现，我真是个懦夫。
3 这件事完全是我一个人的错，是我去勾搭别人，我对她不依不饶，是我用尽了“甜言蜜语”去哄骗了她。她也是一个受害者，无数次拒绝我，无数次拉黑我，可我像疯了一样……
我让所有人受到牵连……
我知道人生在世是不可以这样想做什么就做什么的，而且做的还是这样伤害最爱你的人的事。我给大家做了错误的示范……
虽然很无力，但还是要和大家说，对不起。",,,,,,,,,,,,,
122,江一燕,中国大陆,女,中国大陆,文字,11/18/2019,11/21/2019,建筑改造未审批,,,,演员,微博,大家好，我是江一燕。过去的这段时间，是我人生的“最高光”时刻，超过我专业上和业余上所有的收获。很遗憾，它是负面的。很显然，这是我人生最大的一场危机。我需要面对这场危机。第一件要做的事情，是道歉。我要向社会道歉，因为个人的行为不当，成为舆论焦点，占用社会资源。整个事情看起来像一个笑话，如果发生在别人身上，我同样会以看笑话的心态来围观。我为老旧的房子，开启了改建的计划，我有一些创意和设想在改建中付诸实施，整个团队共同努力的设计创意参加建筑设计的专业评比获奖，我晒了奖项引发群嘲，当我还陷在这次人设垮塌的群嘲不能自拔的时候，我的房子被举报了，然后我亲自参与的“建筑作品”将由我亲自打碎。如果我作为演员拿大这样的故事剧本，我肯定会读完之后把剧本摔到对方脸上，说“生活中怎么可能有这么荒诞的事情”！是的，这么荒诞的事情，我是编剧，我是导演，我也是主演。,,,,,,,,,,,,,
123,王子文,中国大陆,男,中国大陆,文字,12/18/2019,12/19/2019,不文明行为,,,,演员,微博,对于这次的不当行为，我感到十分愧疚。在此诚恳地向大家道歉，作为公众人物今后必将严于律己加以改正，给大家添麻烦了。对不起。,,,,,,,,,,,,,
124,梅婷,中国大陆,女,中国大陆,文字,1/4/2020,1/7/2020,不文明行为,,,,演员,微博,对不起，首先和大家道个歉，谢谢大家的监督和提醒，作为一个公众人物，我为我自己的行为感到十分的愧疚和自责，以后我一定会加倍注意自己的言行举止。,,,,,,,,,,,,,
125,王旭东,中国大陆,男,中国大陆,文字,1/13/2020,1/20/2020,开车进故宫,,,,故宫馆长,微博,"近期发生的“开车进故宫”事件引发社会高度关注，引起公众对故宫文物保护的担忧，我代表故宫博物院再次向社会公众诚挚道歉！
　　1月13日，经过故宫博物院批准的闭馆日活动有200余人参加。因原定停车场车位已满，我院相关部门引导车辆停放时，临时改变停车位置，未严格执行报批的接待方案，将原定的西华门内西河沿停车场，变更为午门内金水河南侧临时停车场。该区域地面是历年来不断更新的现代材料，多年来一直作为闭馆时段的车辆通道和闭馆日活动的临时停车场所。
　　此次事件反映出我院在内部管理和社会服务中存在的短板不足。经研究决定，对负有领导责任的故宫博物院分管副院长和保卫处处长停职检查。我院将汲取教训，以此为戒，全面加强管理，认真进行整改。对故宫内所有车辆通道、停放场所进行排查，确保不对故宫文物造成损害，确保故宫安全，全力守护好故宫，为社会提供更多更好的公共服务。",,,,,,,,,,,,,
126,郭涛,中国大陆,男,中国大陆,文字,4/29/2020,4/30/2020,不良性别言论,,,,演员,微博,非常抱歉在这个特殊时期占用公共资源。在此，做一下简单说明：《父亲的力量》出版于2014年，初衷是想对自己的半生过往、婚后生活及为父感受做一次记录和总结。首先，我要跟所有人说一句对不起。书中涉及到的言论确实有失妥当，对此我进行了深刻的反省。我也要跟所有信任我、支持我的一众好友们，以及合作过的女演员们说声对不起。书中二十年前的某些内容或过往细节，如对任何人造成伤害，我为此道歉。我本人对女性并无任何偏见，也会在未来的生活工作中做到言行合一，尊重女性的价值观念，尊重女性的职业选择，并为此作出表率。最后，我再次表达对因此事给家人、朋友和读者们造成的伤害深表歉意。作为公众人物，我会更加注意自己的言行举止。也感谢网友让我有机会重新审视自己，在未来的人生中，更加尊重、爱护我的家人及所有人。祝大家五一假期快乐，出门做好防护，保护好自己的家人。,,,,,,,,,,,,,
127,仝卓,中国大陆,男,中国大陆,文字,5/22/2020,5/29/2020,高考舞弊,,,,歌手,微博,对不起大家，我错了！在事情发生后，我觉得十分羞愧。大家的批评，让我真正认识了自己的问题。高考是一件非常严肃的事情，任何人都不应以不正确的言行影响其公平、公正。我已经向中央戏剧学院申请撤销我的学籍学历。感谢学校的栽培，给母校添麻烦了，非常抱歉！我也向节目组道歉，给你们增加了工作，造成了损失。向所有关心我的人道歉，让你们担心难过，请一定以我为戒。我会闭门思过、认真反省，努力学习，提高自己。再次向大家深深地表示歉意。我愿承担由此带来的一切后果。,,,,,,,,,,,,,
128,汪涵,中国大陆,男,中国大陆,文字,7/1/2020,7/2/2020,代言品牌涉嫌欠债,,,,主持人,微博,最近，一些朋友在使用“爱钱进”产品时遇到问题，我对此感到十分痛心！我曾于2016年底——2018年为“爱钱进”APP代言。之后我得知“爱钱进”产品出现兑付迟缓现象，就多次联系平台，敦促他们尽快妥善地为大家解决问题。在做这些事情时，我未及时向大家通报，为此，向大家深深致歉！我和律师团队将积极和大家一起跟进此事，与大家共同面对！我也会继续与平台和有关部门密切沟通，为妥善解决此事尽自己的力量。,,,,,,,,,,,,,
129,任豪,中国大陆,男,中国大陆,文字,10/14/2020,10/16/2020,绯闻,,,,歌手,微博,最近发生了很多事，我最愧疚时因为我的私人事情处理不当，给我们共同珍爱的团队-R1SE带来了巨大的伤害和负面关注。我向我的兄弟们特别珍重说声抱歉。我向所有支持R1SE的十二们道歉，因为我个人不妥的行为影响了团，也辜负了你们的期望。而对于一直支持我的粉丝们，我非常惭愧辜负了你们的信任与支持。我没有想到这么多人因此事被牵扯其中，让很多人承受了不该有的质疑和舆论压力，我想对所有收到此次事件影响的人说声对不起，对你们造成了极大困扰，万分抱歉。所有的批评我都诚心接受，作为男团成员，我的一言一行不仅仅代表我个人，更代表了R1SE，今后我会严以律己，注意自己的言行举止，也会更加专注于提升自己的业务能力。与公司团队商议后，我决定暂停在社交媒体上进行除工作以外的任何个人发言，也会将自己假期和课余时间都投入封闭训练和学习。作为对自己的告诫，也是真正在这些时间里反思，修正和提高自己，请大家监督。,,,,,,,,,,,,,
130,郭敬明,中国大陆,男,中国大陆,文字,5/15/2005,12/31/2020,抄袭,,,,作家,微博,"此刻，是2020年的最后一天。在这个对生命有重新认知的特殊年末，我想做一个迟到太久的道歉。
2006年法院判决我的小说《梦里花落知多少》抄袭庄羽女士的小说《圈里圈外》，法院当时做出了判决：1赔偿庄羽女士20万元；2在《中国青年报》上公开道歉，或者直接将判决书内容刊登在报纸上。
当时的我无法面对自己的内心，于是在律师问我选择写道歉信还是刊登判决书的时候，年少轻狂的虚荣和抗拒让我选择了逃避道歉，以直接在报纸上刊登判决书来履行法律惩罚。当时自己一度很反抗，不肯承认自己的错误。
在之后的所有场合，我都一直回避谈及抄袭事件，因为对我来说，它像一个无法愈合的伤口，我不敢撕开，更不敢面对。
时间过去了十五年，这个错误一直伴随着我，从我年少，到青年，到如今马上走向四十岁的人生中点。一直以来我都会接收到老师们网友们的批评，所以，在今天，我选择面对自己过去的错误，面对我对庄羽女士造成的伤害，面对被我辜负的所有支持我和相信我的读者和合作伙伴，我欠所有人一个道歉。
庄羽女士，对您造成的伤害，我郑重道歉，非常对不起。我也要向公众道歉，向所有原创作者们，和中国来之不易的创作环境道歉，对不起，我做了非常不好的示范，请大家以我为戒，拒绝抄袭，尊重创作。
在道歉的同时，我将把《梦里花落知多少》这本小说出版后获得的线上线下所有的版税以及全部收益汇总计算清楚之后，全部赔偿给庄羽女士。如果庄羽女士不愿意接受，我会把这笔钱捐给公益慈善机构，接受公众的监督。
过去的十五年里，我一直对自己说，我要靠作品，靠努力，让自己获得成功，证明靠拼搏也可以改变人生。但是现在我明白，如果我一直逃避自己的过去，不肯承认和面对自己年少时候犯下的错误，我永远都不可能成为一个大写的人。
再次对大家，说声抱歉，非常对不起。",,,,,,,,,,,,,
